:Item Number,QOH,Order Point,PriceA,PriceB,PriceC,PriceD,PriceE,PriceF,PriceWD,CorePrice,Unit Measure,Description
R2002TST,5,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2003TST,2,5,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2004TST,10,12,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2005TST,11,17,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2006TST,2,9,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2007TST,9,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2008TST,2,4,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2009TST,2,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2010TST,4,9,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2011TST,1,11,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2012TST,7,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2013TST,10,11,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2014TST,6,16,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2015TST,3,10,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2016TST,11,22,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2017TST,9,17,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2018TST,3,14,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2019TST,2,4,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2020TST,1,3,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2021TST,4,14,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2022TST,5,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2023TST,10,15,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2024TST,9,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2025TST,7,15,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2026TST,9,18,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2027TST,7,9,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2028TST,3,6,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2029TST,10,21,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2030TST,7,9,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2031TST,9,19,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2032TST,7,10,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2033TST,11,19,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2034TST,9,16,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2035TST,7,17,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2036TST,3,6,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2037TST,3,14,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2038TST,3,9,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2039TST,1,4,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2040TST,7,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2041TST,5,10,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2042TST,7,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2043TST,11,21,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2044TST,3,10,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2045TST,5,12,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2046TST,2,7,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2047TST,2,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2048TST,12,22,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2049TST,2,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2050TST,11,15,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2051TST,11,19,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2052TST,11,18,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2053TST,4,6,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2054TST,2,12,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2055TST,3,12,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2056TST,1,1,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2057TST,8,9,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2058TST,8,9,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2059TST,11,14,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2060TST,11,18,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2061TST,5,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2062TST,11,18,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2063TST,7,18,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2064TST,10,16,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2065TST,12,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2066TST,10,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2067TST,9,16,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2068TST,12,18,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2069TST,9,18,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2070TST,6,16,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2071TST,11,21,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2072TST,11,14,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2073TST,9,19,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2074TST,8,18,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2075TST,3,8,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2076TST,6,14,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2077TST,8,11,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2078TST,2,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2079TST,4,12,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2080TST,10,17,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2081TST,7,12,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2082TST,11,20,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2083TST,12,21,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2084TST,4,6,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2085TST,2,12,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2086TST,8,15,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2087TST,11,21,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2088TST,5,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2089TST,6,15,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2090TST,5,16,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2091TST,3,6,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2092TST,3,11,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2093TST,10,10,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2094TST,6,14,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2095TST,8,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2096TST,11,17,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2097TST,8,10,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2098TST,5,13,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2099TST,3,14,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2100TST,5,6,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2101TST,2,12,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2102TST,6,7,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
R2103TST,6,15,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00,Each,Spark Plug
